,pm25,t2m,d2m,u10,v10,sp,t500,t850,t1000,q500,q850,q1000,u500,u850,u1000,v500,v850,v1000,w500,w850,w1000
2016-01-01 08:00:00,106.0,266.1586967634627,262.9427972383516,0.6099996087410431,-0.8544010072534984,99031.62945195551,247.48058515388655,273.9596465144264,273.71345825437464,0.00018577873877108873,0.001299502692446039,0.0017819158702194887,22.726636957758803,9.640619182925747,1.023143156228974,0.6054821351241992,-0.9316375209580361,-0.9154070649621371,-0.059047692516901396,0.16794085489709093,0.13705055439846742
2016-01-01 14:00:00,172.0,277.5720134224777,265.85437799839985,0.5399510205904385,0.014326521767953126,98687.35592182564,247.66358070547582,275.4920696946416,277.5497822639512,0.00018201869841432024,0.0012791984745194867,0.0018894530244230809,22.448769269657454,9.815926265118442,0.4495193022515114,0.5004615375036732,-1.8176294717930146,0.0660581564369549,0.04667803835636358,0.081981238926219,0.016615156621096083
2016-01-01 20:00:00,260.0,271.10950285781587,266.58818302757305,1.2315923833905984,-0.007235420499126066,98736.5794637816,249.1380772362671,274.64686721895595,279.33892582229527,0.0002192430979463325,0.0013649273946538185,0.002002630239161824,21.773777374956325,7.522623414393575,1.2020279339766233,-3.9839179808927607,-4.214963295657917,0.14911990182773405,-0.12046055184154575,0.23827144978234976,0.0907151036505322
2016-01-02 02:00:00,306.0,266.70461898430466,264.17302875705946,0.8916090843364022,-1.404386781022475,98683.27823195947,247.9295166869221,274.9615142465087,277.8947091309756,0.0004418374870670521,0.0014138079192918141,0.0019563817427735667,21.57700411943391,7.068256078914545,1.506132056147628,-4.629317289906171,-2.4066995511735976,-2.123143937598179,-0.10519927242853533,-0.051508988228546826,0.18614406769092268
2016-01-02 08:00:00,195.0,266.04201109793917,262.64927522668233,0.8342966031222714,-1.4334485292954948,98634.05469000351,246.95529576479217,274.26112839438287,276.34122171460626,0.000588479060981039,0.001370191451153295,0.0016078260017010886,22.702785654059117,5.349769647352125,1.060112676963488,-6.598930861643843,-1.5808557607940115,-2.6033744885356724,0.01882160665671201,-0.022825137765539294,0.2121617910275609
2016-01-02 14:00:00,210.0,279.45148610644515,266.32224026532236,-0.28754214953210555,-0.8581509102564687,98461.62666137671,248.73785674933805,274.87199124285354,280.0656419696138,0.00037002071625276585,0.001446144266360026,0.001925173407812385,25.241756932890755,6.041457454643036,-0.3852763272375199,-6.0661900118960865,-0.9526416404821418,-0.9335469863693184,0.10404573928237865,0.01624741494849341,0.046494167520062246
2016-01-02 20:00:00,416.0,273.1285816058918,265.7706552769506,-0.5893171277768812,-1.2762650950876566,98632.01584507042,248.73917326409767,273.5646920865359,280.19597693081766,0.0002997079615811877,0.0014111758910420758,0.001960141783130335,25.985917608320978,1.8090436131336478,-0.5581982790602478,-4.450782273951278,-3.499868499132703,-0.9287733228411126,-0.02769771492752454,-0.03744286925149509,0.08906026612382023
2016-01-03 02:00:00,482.0,268.24549487099415,264.8378856626861,-0.1983894009767908,-1.8612499635510227,98653.56934864877,248.42584275130451,272.04280102439776,274.29799080765264,0.00037490876871656455,0.0015224730856024347,0.0019112612584923395,32.473472214635734,2.3433128160066286,-0.8587247056762983,-1.1149462004411355,1.0246097929006597,-2.020987538094577,-0.0531638257552588,-0.37576520804594293,0.1159054082238144
2016-01-03 08:00:00,178.0,267.09114025135113,264.43109173376195,-0.40216711196036736,-1.3212639311233,98785.22047861383,247.46215394725166,270.3576621320649,271.4161399988115,0.0001342661858833548,0.0016394103406979482,0.001766875708792413,37.08512178497014,8.33356774018292,-1.48124373223812,-5.662338077409885,-2.6310617369992655,-1.457695241766304,0.2387311268731031,-0.06419607593333865,0.09972477462929741
2016-01-03 14:00:00,119.0,276.28534559282156,265.8080842583044,-0.042372091004990065,-1.1075194599539935,98734.24935528665,247.73203947297685,269.81920759537417,274.93386743655634,0.00011170594374274208,0.001464568464108194,0.001690922893585682,33.825841134407966,8.334760305367904,-0.22547259244961992,-9.028725597500545,-5.795045923494003,-1.073892694098566,0.10625218931799457,0.4303245382990894,0.09466832663101077
